Sample,Nitrate-N_PPM,Phosphorous_PPM,Exch.K_PPM,Sol.K_meq/L,Exch.Ca_PPM,Sol.Ca_meq/L,Exch.Mg_PPM,Sol.Mg_meq/L,Exch.Na_PPM,Sol.Na_meq/L,Sulfate_meq/L,Zinc_PPM,Manganese_PPM,Iron_PPM,Copper_PPM,Boron_PPM,Chloride_meg/L,CEC_meq/100g,CEC-Ca_%,CEC-Mg_%,CEC-K_%,CEC-Na_%,CEC-H_%,pH,ECe_dS/m,SAR,Limestone_%,LimeReq_Tons/AF,GypReq_Calc_Tons/AF,Moisture_%,Moisture_Analysis,Saturation_%
1A_Poststeam_5months_2cm,115,230,1700,10.5,2710,4.12,905,4.23,100,5.24,3.16,22.5,101,151,6.1,1.54,2.48,25.7,52.5,29,16.9,1.7,<1,7.45,2.4,2.6,<0.1,0,<0.5,86.8,High,99.1
1B_Poststeam_5months_8cm,162,235,2800,18.8,2750,4.65,925,4.87,160,10.3,5,22.1,113,238,6,2.7,3.3,29,47.2,26.2,24.2,2.42,<1,7.69,3.9,4.7,<0.1,0,<0.5,77.7,High,87.1
2A_Poststeam_5months_2cm,103,209,1300,8.78,2690,5.35,815,5.71,40,2.83,2.69,20.2,69.6,137,5.2,0.88,1.78,23.7,56.5,28.3,14.4,0.738,<1,7.11,2.4,1.2,<0.1,0,<0.5,34.1,Opt,83.9
2B_Poststeam_5months_8cm,108,270,2700,14.7,2890,4.49,981,4.28,180,7.44,4.75,24.1,41.9,182,5.4,2.24,3.19,30.3,47.5,26.6,23.1,2.55,<1,7.56,3.1,3.6,<0.1,0,<0.5,49.7,Opt,85.7
3A_Poststeam_5months_2cm,85.4,200,1600,8.47,2790,3.94,840,3.99,54,2.22,2.61,19.6,70.1,132,5.2,0.95,0.63,25,55.6,27.6,15.9,0.944,<1,7.3,2,1.1,<0.1,0,<0.5,36.6,Opt,87.3
3B_Poststeam_5months_8cm,125,229,1800,13.1,2520,4.01,823,4.14,86,5.64,2.9,20.9,47.2,147,5,2.02,0.892,24.3,51.9,27.9,18.8,1.54,<1,7.46,3,2.8,<0.1,0,<0.5,42.1,Opt,91.4
1A_Poststeam_1day_2cm,200,196,3000,52.4,2260,13,757,19.8,87,41.1,23.9,19.5,126,120,5.2,3.15,74.3,25.5,44.3,24.4,29.7,1.49,<1,7.21,16,10.1,<0.1,0,1.8,36.1,Opt,95.9
1B_Poststeam_1day_8cm,50.8,250,3700,58.1,2590,12.4,931,19.1,270,46,29.8,23.5,105,139,6.2,1.91,89,31.2,41.3,24.6,30.4,3.81,<1,7.76,17,11.6,<0.1,0,3,30.3,Opt,93.1
2A_Poststeam_1day_2cm,52.2,211,2900,23,2400,6.59,837,7.18,190,17.4,11.5,17.4,113,119,4.9,1.96,22.1,27,44.4,25.5,27.1,3.05,<1,7.53,5.1,6.6,<0.1,0,<0.5,41,Opt,97.5
2B_Poststeam_1day_8cm,24.7,265,3300,46,2590,9.09,936,13.6,180,36.5,22.7,25.6,110,185,6.5,1.69,65.6,29.8,43.3,25.8,28.3,2.63,<1,7.75,11,10.8,<0.1,0,2.4,27.1,Opt,104
3A_Poststeam_1day_2cm,233,172,2600,61.5,2220,15.3,689,24.4,0,46.9,26.2,20.6,129,113,5.3,3.52,83.1,23.4,47.4,24.2,28.2,<8.7,<1,7.16,18,10.5,<0.1,0,1.8,32.9,Opt,101
3B_Poststeam_1day_8cm,131,244,3400,60.2,2440,13.3,834,21.1,84,46.7,28.5,22.4,113,140,5.4,2.06,88.2,28,43.6,24.5,30.6,1.31,<1,7.62,17,11.3,<0.1,0,2.5,33.2,Opt,102
1A_Presteam_2cm,184,241,2900,53.3,2480,11.5,809,17.5,53,40.8,20.3,25.7,46,194,6,1.81,65.2,26.8,46.3,24.9,27.8,0.862,<1,7.31,16,10.7,<0.1,0,2.1,13.1,Opt,90.9
1B_Presteam_8cm,180,257,2800,48.1,2380,11.7,763,17.3,41,37,19.9,23.3,30.2,164,4.8,1.77,61.4,25.4,46.9,24.7,27.9,0.701,<1,7.29,14,9.7,<0.1,0,1.6,16.4,Opt,97.9
2A_Presteam_2cm,156,260,3500,46.2,2750,11,937,16.9,260,35.2,19.2,27.4,46.7,183,5.5,1.8,53.7,31.6,43.4,24.4,28.6,3.54,<1,7.31,12,9.4,<0.1,0,1.8,12.8,Opt,101
2B_Presteam_8cm,186,252,3000,51.4,2520,12.9,832,19.6,130,39.6,22.5,27.4,33.9,182,5.3,1.85,68.4,27.8,45.3,24.6,28,2,<1,7.37,15,9.8,<0.1,0,1.8,21.4,Opt,88
3A_Presteam_2cm,108,261,3400,46.5,2650,11.6,898,17.4,190,35.5,19.1,26.4,42.4,165,5.1,1.95,60.6,30,44,24.6,28.7,2.78,<1,7.24,12,9.3,<0.1,0,1.7,8.2,Low,103
2B_Presteam_8cm,213,248,3300,49.7,2630,12.1,869,18.4,120,37.6,20,26.4,49,181,5.9,1.95,66.6,29.1,45,24.6,28.6,1.84,<1,7.26,15,9.6,<0.1,0,1.8,12.9,Opt,102
